state_county_fips,POPESTIMATE2019,STNAME,Abbreviation,STATE,MEDIAN_AGE_TOT,MEDIAN_AGE_MALE,MEDIAN_AGE_FEM,PopDensity2010
48317,5771,Texas,TX,48,32.75,32.45,33,5.2
48319,4274,Texas,TX,48,49.5,48.4,50.65,4.3
48321,36643,Texas,TX,48,38.2,37.15,39.1,33.4
48323,58722,Texas,TX,48,29.65,27.7,31.65,42.4
48325,51584,Texas,TX,48,38.95,36.75,40.85,34.7
48327,2138,Texas,TX,48,52.25,51.65,52.6,2.5
48329,176832,Texas,TX,48,32.15,31.55,32.95,152
48331,24823,Texas,TX,48,41.3,39.8,42.6,24.3
48333,4873,Texas,TX,48,47,46,48.05,6.6
48335,8545,Texas,TX,48,35.2,32.8,40.7,10.3
48337,19818,Texas,TX,48,43.6,42.75,44.45,21.2
48339,607391,Texas,TX,48,36.6,35.6,37.5,437.5
48341,20940,Texas,TX,48,30.9,30.1,31.7,24.3
48343,12388,Texas,TX,48,42.3,40.5,44,51.3
48345,1200,Texas,TX,48,49.15,48.05,50.7,1.2
48347,65204,Texas,TX,48,30.4,29.75,31,68.2
48349,50113,Texas,TX,48,37.8,36.3,39,47.3
48351,13595,Texas,TX,48,42.15,40.2,44,15.5
48353,14714,Texas,TX,48,38.15,36.25,40.1,16.7
48355,362294,Texas,TX,48,35.1,33.9,36.3,405.8
48357,9836,Texas,TX,48,31.7,31,32.25,11.1
48359,2112,Texas,TX,48,36.95,34.75,40.05,1.4
48361,83396,Texas,TX,48,38.35,37.1,39.55,245.3
48363,29189,Texas,TX,48,40.9,39.6,42.05,29.5
48365,23194,Texas,TX,48,39.15,37.75,40.7,29.7
48367,142878,Texas,TX,48,39.4,38.6,40.25,129.4
48369,9605,Texas,TX,48,33.25,32.15,34.5,11.7
48371,15823,Texas,TX,48,35.75,36.25,35,3.3
48373,51353,Texas,TX,48,43.1,41.3,45.5,43
48375,117415,Texas,TX,48,33.15,32.95,33.4,133.3
48377,6704,Texas,TX,48,38.5,37.5,40,2
48379,12514,Texas,TX,48,47.3,46.3,48.1,47.6
48381,137713,Texas,TX,48,35.4,34.2,36.7,132.4
48383,3849,Texas,TX,48,33.5,33.35,33.7,2.9
48385,3452,Texas,TX,48,52.05,51.5,52.6,4.7
48387,12023,Texas,TX,48,46.1,44.55,47.45,12.4
48389,15976,Texas,TX,48,34.15,33.6,35.9,5.2
48391,6948,Texas,TX,48,43,42,43.85,9.6
48393,854,Texas,TX,48,40.5,40.9,40.9,1
48395,17074,Texas,TX,48,40.4,39.05,41.6,19.4
48397,104915,Texas,TX,48,36.85,35.95,37.75,616.7
48399,10264,Texas,TX,48,42,40.5,43.6,10
48401,54406,Texas,TX,48,38.65,37.4,40,57.7
48403,10542,Texas,TX,48,52,52.1,51.9,22
48405,8237,Texas,TX,48,48.1,47.3,48.75,16.7
48407,28859,Texas,TX,48,44.3,43.35,45.15,46.3
48409,66730,Texas,TX,48,35.65,34.55,36.8,93.5
48411,6055,Texas,TX,48,40.9,34.5,47.45,5.4
48413,2793,Texas,TX,48,35.4,35,35.9,2.6
48415,16703,Texas,TX,48,36.35,35.65,36.95,18.7
48417,3265,Texas,TX,48,43.15,42.3,43.85,3.7
48419,25274,Texas,TX,48,37.7,36.65,38.8,32
48421,3022,Texas,TX,48,36.8,36.3,37.6,3.3
48423,232751,Texas,TX,48,36.05,34.6,37.5,227.6
48425,9128,Texas,TX,48,41.05,40.45,41.6,45.5
48427,64633,Texas,TX,48,28.7,27.5,30.15,49.8
48429,9366,Texas,TX,48,40,37.3,43.05,10.7
48431,1291,Texas,TX,48,37.55,36.6,39.15,1.2
48433,1350,Texas,TX,48,47.1,46.4,47.2,1.6
48435,3776,Texas,TX,48,39.1,38.85,39.4,2.8
48437,7397,Texas,TX,48,36.35,34.3,39.4,8.8
48439,2102515,Texas,TX,48,34,33.05,34.85,2094.7
48441,138034,Texas,TX,48,32.4,30.9,33.8,143.6
48443,776,Texas,TX,48,44.85,42.9,46.65,0.4
48445,12337,Texas,TX,48,34.45,33,36.3,14.2
48447,1501,Texas,TX,48,47.05,45.6,48.2,1.8
48449,32750,Texas,TX,48,33.4,32.55,34.1,79.6
48451,119200,Texas,TX,48,34.1,32.25,35.95,72.4
48453,1273954,Texas,TX,48,33.25,32.85,33.65,1034.4
48455,14651,Texas,TX,48,48.4,47.25,49.35,21
48457,21672,Texas,TX,48,42.4,38.5,47.1,23.5
48459,41753,Texas,TX,48,40.7,39.1,42.25,67.4
48461,3657,Texas,TX,48,35.35,34.95,35.9,2.7
48463,26741,Texas,TX,48,34.4,32.95,36,17
48465,49025,Texas,TX,48,31.9,30.4,33.7,15.5
48467,56590,Texas,TX,48,42.75,41.5,43.95,62.4
48469,92084,Texas,TX,48,36,34.65,37.3,98.4
48471,72971,Texas,TX,48,34.9,36.65,31.4,86.5
48473,55246,Texas,TX,48,29.4,29.15,29.55,84.1
48475,11998,Texas,TX,48,34.45,33.65,35.5,12.8
48477,35882,Texas,TX,48,41.7,39.85,43.55,55.8
48479,276652,Texas,TX,48,28.05,26.65,29.45,74.5
48481,41556,Texas,TX,48,37.15,35.75,38.6,38
48483,5056,Texas,TX,48,40,38.35,41.05,5.9
48485,132230,Texas,TX,48,33.95,32.15,36.3,209.5
48487,12769,Texas,TX,48,38.3,37.05,39.55,13.9
48489,21358,Texas,TX,48,32.25,30.65,35.1,37.5
48491,590551,Texas,TX,48,35.4,34.7,36.1,378
48493,51070,Texas,TX,48,40,39.4,40.8,53.4
48495,8010,Texas,TX,48,33.3,32.7,34.1,8.5
48497,69984,Texas,TX,48,38.8,38.15,39.4,65.4
48499,45539,Texas,TX,48,48.25,46.35,50.1,65
48501,8713,Texas,TX,48,31.05,30.65,31.95,9.9
48503,18010,Texas,TX,48,41.55,40,43,20.3
48505,14179,Texas,TX,48,28.8,27.25,30.3,14
48507,11840,Texas,TX,48,30.8,29.15,32.55,9
13001,18386,Georgia,GA,13,38.9,37.35,40.3,36
13003,8165,Georgia,GA,13,35.25,34.8,35.4,24.7
13005,11164,Georgia,GA,13,37.35,36.35,38.25,42.9
13007,3038,Georgia,GA,13,44.35,44.2,44.6,10.1
13009,44890,Georgia,GA,13,34.3,34.65,33.95,177.3
13011,19234,Georgia,GA,13,40.65,40.05,41.2,79.3
13013,83240,Georgia,GA,13,34.9,34,35.8,432.7
13015,107738,Georgia,GA,13,37.4,36.7,38.2,217.9
13017,16700,Georgia,GA,13,38,36.65,39.3,70.5
13019,19397,Georgia,GA,13,39.75,38.45,40.7,42.7
13021,153159,Georgia,GA,13,35.9,34.15,37.55,622.8
13023,12873,Georgia,GA,13,37.4,35.45,39.1,60.5
13000,10617423,Georgia,GA,13,NULL,NULL,NULL,168.4
13025,19109,Georgia,GA,13,39.6,38.5,40.6,41.6
13027,15457,Georgia,GA,13,42.5,40.3,44.05,32.9
13029,39627,Georgia,GA,13,34.4,33.45,35.4,69.3
13031,79608,Georgia,GA,13,27.1,26.15,28.2,104.4
13033,22383,Georgia,GA,13,37,35.15,38.85,28.2
13035,24936,Georgia,GA,13,38.55,36.7,41.2,128.3
13037,6189,Georgia,GA,13,39.5,38.35,42.5,23.9
13039,54666,Georgia,GA,13,31.75,29.75,34.3,82.4
13043,10803,Georgia,GA,13,38.8,37.6,39.9,45.3
13045,119992,Georgia,GA,13,34.25,33.35,35.05,221.5
13047,67580,Georgia,GA,13,39.7,37.95,41.25,394.3
13049,13392,Georgia,GA,13,38.2,36.8,41.7,15.7
13051,289430,Georgia,GA,13,34.45,33.05,35.85,621.7
13053,10907,Georgia,GA,13,24,23.55,26.45,45.3
13055,24789,Georgia,GA,13,40.25,38.3,42.25,83
13057,258773,Georgia,GA,13,37.8,37,38.55,508.3
13059,128331,Georgia,GA,13,26.95,26.7,27.15,979.1
13061,2834,Georgia,GA,13,46.6,45.35,47.9,16.3
13063,292256,Georgia,GA,13,32.35,30.55,33.9,1832.5
13065,6618,Georgia,GA,13,37.1,36.35,37.9,8.5
13067,760141,Georgia,GA,13,36.15,35,37.25,2026.4
13069,43273,Georgia,GA,13,35.35,34.25,36.85,73.7
13071,45600,Georgia,GA,13,35.45,33.9,37.05,83.6
13073,156714,Georgia,GA,13,36.6,35.45,37.8,427.6
13075,17270,Georgia,GA,13,37.3,36.25,38.35,75.8
13077,148509,Georgia,GA,13,37.65,36.85,38.45,288.8
13079,12404,Georgia,GA,13,42.85,41.75,44.15,38.9
13081,22372,Georgia,GA,13,38.7,36.75,40.3,86
13083,16116,Georgia,GA,13,40.55,39.4,41.7,95.6
13085,26108,Georgia,GA,13,42.9,42.1,43.75,105.9
13087,26404,Georgia,GA,13,38.2,36.45,39.9,46.6
13089,759297,Georgia,GA,13,35.25,34,36.5,2585.7
13091,20605,Georgia,GA,13,40.5,38.5,42.6,44
13093,13390,Georgia,GA,13,41.7,40.2,43.9,38.1
13095,87956,Georgia,GA,13,34.3,32.45,36.05,287.7
13097,146343,Georgia,GA,13,36.1,34.55,37.35,661.8
13099,10190,Georgia,GA,13,40.3,38.3,41.85,21.5
13101,4006,Georgia,GA,13,34.1,33.55,34.75,9.7
13103,64296,Georgia,GA,13,35.85,34.85,36.7,109.4
13105,19194,Georgia,GA,13,42.55,40.3,43.95,57.4
13107,22646,Georgia,GA,13,36.9,35,38.9,33.2
13109,10654,Georgia,GA,13,36.55,34.8,38.25,60.2
13111,26188,Georgia,GA,13,50.85,50,51.55,61.2
13113,114421,Georgia,GA,13,43.25,41.9,44.3,548.3
13115,98498,Georgia,GA,13,37.9,36.85,39,188.9
13117,244252,Georgia,GA,13,37.95,37.5,38.35,783.5
13119,23349,Georgia,GA,13,41.05,39.55,42.5,84.5
13121,1063937,Georgia,GA,13,34.85,33.95,35.85,1748
13123,31369,Georgia,GA,13,45.55,44.7,46.65,66.3
13125,2971,Georgia,GA,13,40.7,39.2,42,21.4
13127,85292,Georgia,GA,13,40.7,39.2,42,189.7
13129,57963,Georgia,GA,13,37.35,36.1,38.6,155.1
13131,24633,Georgia,GA,13,38.5,37.3,39.8,55
13133,18324,Georgia,GA,13,48.7,47.75,49.55,41.3
13135,936250,Georgia,GA,13,34.6,33.45,35.7,1871.2
13137,45328,Georgia,GA,13,39.25,38.35,40,155.5
13139,204441,Georgia,GA,13,35.7,34.6,36.8,457.5
13141,8457,Georgia,GA,13,44.85,40.8,49.5,20
13143,29792,Georgia,GA,13,39.25,38.3,40.15,102
13145,35236,Georgia,GA,13,43.2,42.2,44.25,69
13147,26205,Georgia,GA,13,43.65,41.85,45.35,108.5
13149,11923,Georgia,GA,13,41.05,40,42.05,40
13151,234561,Georgia,GA,13,36.35,34.95,37.45,633
13153,157863,Georgia,GA,13,34.75,33.35,36.05,372.5
13155,9416,Georgia,GA,13,39.3,36.9,42.15,26.9
13157,72977,Georgia,GA,13,37.9,37.2,38.65,178.1
13159,14219,Georgia,GA,13,40.7,39.9,41.45,37.8
13161,15115,Georgia,GA,13,36.85,35.7,37.8,45.6
13163,15362,Georgia,GA,13,39.8,37.2,42,32.2
13165,8676,Georgia,GA,13,38.3,36.05,40.95,24
13167,9643,Georgia,GA,13,41.6,40.8,42.9,32.9
13169,28735,Georgia,GA,13,39.8,38.85,40.65,72.8
13171,19077,Georgia,GA,13,37.95,37.55,38.25,99.8
13173,10423,Georgia,GA,13,34.45,33.65,35.35,54.4
13175,47546,Georgia,GA,13,38.75,37.3,40.1,60
13177,29992,Georgia,GA,13,36.3,35.6,37,79.5
13179,61435,Georgia,GA,13,28,26.75,29.35,129.5
13181,7921,Georgia,GA,13,47.1,45.85,48.25,38
13183,19559,Georgia,GA,13,31.6,31.5,31.75,36.1
13185,117406,Georgia,GA,13,29.9,29.05,31.05,220.2
13187,33610,Georgia,GA,13,36.25,34.9,37.75,105.9
13189,21312,Georgia,GA,13,38.85,37.1,40.35,85
13191,14378,Georgia,GA,13,47.65,46.95,48.1,33.8
13193,12947,Georgia,GA,13,39.6,37.05,43.25,36.8
13195,29880,Georgia,GA,13,40.5,39.5,41.3,99.6
13197,8359,Georgia,GA,13,43.1,42.9,43.25,23.9
13199,21167,Georgia,GA,13,42.6,40.6,44.05,43.9
13201,5718,Georgia,GA,13,42.5,40.45,44.05,21.7
13205,21863,Georgia,GA,13,38.2,36,40.9,45.9
13207,27578,Georgia,GA,13,42.55,40.95,43.9,66.8
13209,9172,Georgia,GA,13,38.6,36.65,40.6,38.1
13211,19276,Georgia,GA,13,42.7,41.6,43.25,51.4
13213,40096,Georgia,GA,13,37.45,36.85,38.1,115
13215,195769,Georgia,GA,13,33.45,31.45,35.7,877.5
13217,111744,Georgia,GA,13,35.7,34.05,37.25,367.3
13219,40280,Georgia,GA,13,39.75,38.8,40.55,178
13221,15259,Georgia,GA,13,42.4,41.25,43.35,33.9
13223,168667,Georgia,GA,13,35.35,34.3,36.3,455.8
13225,27546,Georgia,GA,13,35.7,34.3,37.2,184.3
13227,32591,Georgia,GA,13,44.35,43.65,45.2,126.8
13229,19465,Georgia,GA,13,39,37.9,39.9,59.3
13231,18962,Georgia,GA,13,40.15,39.6,40.65,82.7
13233,42613,Georgia,GA,13,36.85,35.15,38.5,133.6
13235,11137,Georgia,GA,13,43.1,43.3,42.9,48.2
13237,22119,Georgia,GA,13,45.1,44.55,45.6,61.6
13239,2299,Georgia,GA,13,50.35,49.55,51.25,16.6
13241,17137,Georgia,GA,13,48.15,46.85,49.3,44
13243,6778,Georgia,GA,13,44.1,40.55,46.45,18
13245,202518,Georgia,GA,13,33.75,31.75,35.75,618.4
13247,90896,Georgia,GA,13,37.95,36,39.3,656.5
13249,5257,Georgia,GA,13,38.9,38.45,39.25,30
13251,13966,Georgia,GA,13,40.8,38.5,42.85,22.6
13253,8090,Georgia,GA,13,44.25,42.5,45.85,37.1
13255,66703,Georgia,GA,13,38.35,36.75,39.85,326.1
13257,25925,Georgia,GA,13,41.1,39.8,42.1,146.1
13259,6621,Georgia,GA,13,36.8,33.75,46.55,13.2
13261,29524,Georgia,GA,13,34.85,32.95,36.85,68
13263,6195,Georgia,GA,13,48.2,46.8,49,17.5
13265,1537,Georgia,GA,13,48,45.6,49.55,8.8
13267,25286,Georgia,GA,13,37.1,35.65,39.8,53.2
13269,8020,Georgia,GA,13,42.4,40.15,44.1,23.6
13271,15860,Georgia,GA,13,40.15,38.5,44.2,37.7
13273,8531,Georgia,GA,13,40,36.85,43.3,27.8
13275,44451,Georgia,GA,13,39.85,38.1,41.4,82.1
13277,40644,Georgia,GA,13,35.1,33.65,36.6,154.9
13279,26830,Georgia,GA,13,36.15,34.45,38.05,74.8
13281,12037,Georgia,GA,13,52.2,50.55,53.6,62.9
13283,6901,Georgia,GA,13,37.55,36.5,38.9,34.5
13285,69922,Georgia,GA,13,36.3,34.75,37.55,161.9
13287,7985,Georgia,GA,13,38.75,36,41.7,31.3
13289,8120,Georgia,GA,13,46.8,45.6,47.85,25.2
13291,24511,Georgia,GA,13,52.9,51.7,54.1,66.3
13293,26320,Georgia,GA,13,41.45,39.8,42.85,84
13295,69761,Georgia,GA,13,41.1,39.55,42.45,154
13297,94593,Georgia,GA,13,38.4,37.4,39.2,257.2
13299,35734,Georgia,GA,13,38.4,36.1,40.7,40.7
13301,5254,Georgia,GA,13,45,42.95,46.45,20.5
13303,20374,Georgia,GA,13,39.75,37.1,43,31.2
13305,29927,Georgia,GA,13,37.85,37.1,38.85,46.9
13307,2607,Georgia,GA,13,44.6,44.7,44.55,13.4
13309,7855,Georgia,GA,13,38.5,37,42.6,25.1
13311,30798,Georgia,GA,13,43.75,42.4,45.15,112.8
13313,104628,Georgia,GA,13,35,33.8,36.25,353.2
13315,8635,Georgia,GA,13,40.2,38.85,43.6,24.5
13317,9777,Georgia,GA,13,44.95,42.95,46.8,22.6
13319,8954,Georgia,GA,13,41.75,40.2,43,21.4
13321,20247,Georgia,GA,13,40.9,39.75,41.8,38
51001,32316,Virginia,VA,51,45.7,43.95,47.3,73.8
51003,109330,Virginia,VA,51,38.7,37.05,40.4,137.3
51005,14860,Virginia,VA,51,46.8,45.4,48.05,36.5
51007,13145,Virginia,VA,51,44.45,43.55,45.05,35.7
51009,31605,Virginia,VA,51,43.7,42.8,44.65,68.3
51011,15911,Virginia,VA,51,43.1,41.7,44.3,44.9
51013,236842,Virginia,VA,51,34.1,34.05,34.1,7993.6
51015,75558,Virginia,VA,51,44.25,43.15,45.45,76.3
51017,4147,Virginia,VA,51,49.25,49.05,49.5,8.9
51019,78997,Virginia,VA,51,45.4,44.7,46,91.2
51021,6280,Virginia,VA,51,45.05,43.15,47.9,19.1
51023,33419,Virginia,VA,51,46.7,45.85,47.45,61.2
51025,16231,Virginia,VA,51,43,39.5,47.1,30.8
51027,21004,Virginia,VA,51,44.9,43.15,46.8,47.9
51029,17148,Virginia,VA,51,42.65,41.25,44.85,29.6
51031,54885,Virginia,VA,51,42.35,40.85,43.7,108.8
51033,30725,Virginia,VA,51,39.2,38.5,39.95,54.1
51035,29791,Virginia,VA,51,46.35,45.2,47.6,63.3
51036,6963,Virginia,VA,51,49,48.1,49.75,39.7
51037,11880,Virginia,VA,51,44.85,43,46.75,26.5
51041,352802,Virginia,VA,51,38.45,37.1,39.6,747.1
51043,14619,Virginia,VA,51,46.2,45.5,46.8,79.7
51045,5131,Virginia,VA,51,46.45,45.7,47.2,15.7
51047,52605,Virginia,VA,51,38.75,38.15,39.3,123.1
51049,9932,Virginia,VA,51,43.7,43.05,44.35,33.8
51051,14318,Virginia,VA,51,43.5,42.4,44.8,48.1
51053,28544,Virginia,VA,51,42.35,41.4,43.1,55.6
51057,10953,Virginia,VA,51,44.9,44.55,45.2,43.4
51059,1147532,Virginia,VA,51,37.65,36.7,38.55,2766.8
51061,71222,Virginia,VA,51,41.7,40.75,42.6,100.7
51063,15749,Virginia,VA,51,45.45,44.6,46.35,40.2
51065,27270,Virginia,VA,51,42.75,42.75,42.75,89.8
